wandb_dir,run_name,run_id,seed,target_network_frequency,buffer_size,gamma,final_return_last100,max_return_last100,eval_mean_return,eval_std_return,final_q
offline-run-20260915_110950-nxv89hnf,CartPole-v1__empty__1__20260915_110949,nxv89hnf,1,1,10000,0.99,215.4,362.9,222.7,11.05486318323298,57.52
offline-run-20260915_110950-68hrq80o,CartPole-v1__empty__2__20260915_110949,68hrq80o,2,1,10000,0.99,197.8,480.2,208.1,20.230916934237065,69.84
offline-run-20260915_110950-7z89c72w,CartPole-v1__empty__1__20260915_110949,7z89c72w,1,50,10000,0.99,500,500,500,0,101.02
offline-run-20260915_110950-51ye09dc,CartPole-v1__empty__2__20260915_110949,51ye09dc,2,50,10000,0.99,130.1,495.7,478.6,51.83280814310565,737.25
offline-run-20260915_111643-zyf6boas,CartPole-v1__empty__1__20260915_111641,zyf6boas,1,500,16,0.99,239.6,458.0,312.1,12.988071450373223,145.14
offline-run-20260915_111643-uoeeq6pd,CartPole-v1__empty__2__20260915_111641,uoeeq6pd,2,500,16,0.99,414.8,429.8,283.8,4.791659420284375,236.41
offline-run-20260915_111643-11jpsr7u,CartPole-v1__empty__1__20260915_111641,11jpsr7u,1,500,64,0.99,384.9,456.8,500,0,184.54
offline-run-20260915_111643-5yun2dex,CartPole-v1__empty__2__20260915_111641,5yun2dex,2,500,64,0.99,283.7,433.6,500,0,46.23
offline-run-20260915_111203-sjlrp5u7,CartPole-v1__empty__1__20260915_111201,sjlrp5u7,1,500,200,0.99,500,500,500,0,105.54
offline-run-20260915_111254-4uwqh0tq,CartPole-v1__empty__2__20260915_111252,4uwqh0tq,2,500,200,0.99,500,500,500,0,113.77
offline-run-20260915_111254-nznb3q7v,CartPole-v1__empty__1__20260915_111253,nznb3q7v,1,500,2000,0.99,497.4,497.4,500,0,102.27
offline-run-20260915_111256-9aqf7dgw,CartPole-v1__empty__2__20260915_111255,9aqf7dgw,2,500,2000,0.99,481.6,500,500,0,102.5
offline-run-20260915_111432-0u39md1a,CartPole-v1__empty__1__20260915_111430,0u39md1a,1,500,10000,0.9,355.2,475.9,160.6,11.35077089893017,9.92
offline-run-20260915_111432-x5wx63an,CartPole-v1__empty__2__20260915_111431,x5wx63an,2,500,10000,0.9,271.5,328.9,285.4,38.923514743661066,9.48
offline-run-20260915_110852-5w0roffb,CartPole-v1__empty__1__20260915_110851,5w0roffb,1,500,10000,0.99,500,500,500,0,101.9
offline-run-20260915_110950-ai4c257z,CartPole-v1__empty__2__20260915_110949,ai4c257z,2,500,10000,0.99,485.5,500,500,0,102.69
offline-run-20260915_111436-6g6ode8m,CartPole-v1__empty__1__20260915_111434,6g6ode8m,1,500,10000,0.999,497.8,500,500,0,1268.53
offline-run-20260915_111513-x2ok2xpa,CartPole-v1__empty__2__20260915_111511,x2ok2xpa,2,500,10000,0.999,500,500,500,0,1300.72
offline-run-20260915_111332-k9jj7qlv,CartPole-v1__empty__1__20260915_111330,k9jj7qlv,1,500,100000,0.99,497.5,500,500,0,102.48
offline-run-20260915_111337-p0z6nmdh,CartPole-v1__empty__2__20260915_111336,p0z6nmdh,2,500,100000,0.99,413.8,480.6,500,0,109.52
offline-run-20260915_111118-yggog0vi,CartPole-v1__empty__1__20260915_111117,yggog0vi,1,10000,10000,0.99,129.6,250.8,115.3,3.3778691508109078,36.06
offline-run-20260915_111121-1u52wg0d,CartPole-v1__empty__2__20260915_111119,1u52wg0d,2,10000,10000,0.99,129.5,307.5,130,4.494441010848846,34.73
offline-run-20260915_111121-e9b9ui66,CartPole-v1__empty__1__20260915_111119,e9b9ui66,1,50000,10000,0.99,371.8,372.3,466.5,70.15304697587982,9.92
offline-run-20260915_111200-09hrkdph,CartPole-v1__empty__2__20260915_111159,09hrkdph,2,50000,10000,0.99,110.8,125.9,106.6,3.826225293941798,9.5
